CountryCode;CountryName;AvgFuel;Cluster
PNG;Papua New Guinea;20.9533214569;0
PRY;Paraguay;49.2693431675;2
PER;Peru;54.9279540777;2
PHL;Philippines;45.2123895288;2
POL;Poland;100.0;1
PRT;Portugal;100.0;1
QAT;Qatar;96.8722080728;1
ROM;Romania;73.0605579913;3
RUS;Russian Federation;93.1697549182;1
RWA;Rwanda;1.99999809265;0
WSM;Samoa;38.246755302;2
SMR;San Marino;100.0;1
STP;Sao Tome and Principe;21.1099654436;0
SAU;Saudi Arabia;97.7767075328;1
SEN;Senegal;37.1928781271;2
SRB;Serbia;61.4595212042;2
SYC;Seychelles;91.9082788809;1
SLE;Sierra Leone;3.89295071363;0
SGP;Singapore;100.0;1
SVK;Slovak Republic;93.9189772056;1
SVN;Slovenia;89.2313611694;1
SST;Small states;52.9328846921;2
SLB;Solomon Islands;9.80119407177;0
SOM;Somalia;3.11717689037;0
ZAF;South Africa;76.5605524182;3
SAS;South Asia;28.2388735845;2
SSD;South Sudan;2.02136188746;0
ESP;Spain;100.0;1
LKA;Sri Lanka;21.036747098;0
KNA;St. Kitts and Nevis;100.0;1
LCA;St. Lucia;85.6950999238;3
VCT;St. Vincent and the Grenadines;81.5415575564;3
SSF;Sub-Saharan Africa (all income levels);16.6079371087;0
SSA;Sub-Saharan Africa (developing only);16.5763189892;0
SDN;Sudan;15.5143111944;0
SUR;Suriname;81.8566445261;3
SWZ;Swaziland;34.2505887151;2
SWE;Sweden;100.0;1
CHE;Switzerland;100.0;1
SYR;Syrian Arab Republic;95.2645703135;1
TJK;Tajikistan;49.9593511224;2
TZA;Tanzania;3.81485819817;0
THA;Thailand;60.0021529943;2
TMP;Timor-Leste;6.81232362986;0
TGO;Togo;3.23663949966;0
TON;Tonga;44.5562787354;2
TTO;Trinidad and Tobago;96.1409345186;1
TUN;Tunisia;94.4409672498;1
TUR;Turkey;90.0310040452;1
TKM;Turkmenistan;96.7449398162;1
TUV;Tuvalu;65.1098243892;3
UGA;Uganda;2.52042710781;0
UKR;Ukraine;90.7490383834;1
ARE;United Arab Emirates;95.8002855918;1
GBR;United Kingdom;100.0;1
USA;United States;100.0;1
UMC;Upper middle income;61.4449260189;2
URY;Uruguay;96.0713429376;1
UZB;Uzbekistan;81.2156649306;3
VUT;Vanuatu;16.2310197949;0
VEN;Venezuela, RB;94.2752143368;1
VNM;Vietnam;31.1501830816;2
WLD;World;54.8132647042;2
YEM;Yemen, Rep.;62.0317317545;2
ZMB;Zambia;12.8428027034;0
ZWE;Zimbabwe;31.7231342196;2
